Question,Answer
These consist of,These consist of particular traits or capabilities that researchers expect an intelligent system to display
The traits described,The traits described below have received the most attention and cover the scope of AI research.
Early researchers developed,Early researchers developed algorithms that imitated step-by-step reasoning that humans use when they solve puzzles or make logical deductions
By the late,"By the late 1980s and 1990s, methods were developed for dealing with uncertain or incomplete information, employing concepts from probability and economics."
Many of these,"Many of these algorithms are insufficient for solving large reasoning problems because they experience a ""combinatorial explosion"": They become exponentially slower as the problems grow"
Even humans rarely,Even humans rarely use the step-by-step deduction that early AI research could model
They solve most,"They solve most of their problems using fast, intuitive judgments"
Accurate and efficient,Accurate and efficient reasoning is an unsolved problem.
Knowledge representation and,Knowledge representation and knowledge engineering allow AI programs to answer questions intelligently and make deductions about real-world facts
Formal knowledge representations,"Formal knowledge representations are used in content-based indexing and retrieval, scene interpretation, clinical decision support, knowledge discovery (mining ""interesting"" and actionable inferences from large databases), and other areas."
A knowledge base,A knowledge base is a body of knowledge represented in a form that can be used by a program
An ontology is,"An ontology is the set of objects, relations, concepts, and properties used by a particular domain of knowledge"
Knowledge bases need,"Knowledge bases need to represent things such as objects, properties, categories, and relations between objects; situations, events, states, and time; causes and effects; knowledge about knowledge (what we know about what other people know); default reasoning (things that humans assume are true until they are told differently and will remain true even when other facts are changing); and many other aspects and domains of knowledge."
Among the most,"Among the most difficult problems in knowledge representation are the breadth of commonsense knowledge (the set of atomic facts that the average person knows is enormous); and the sub-symbolic form of most commonsense knowledge (much of what people know is not represented as ""facts"" or ""statements"" that they could express verbally)"
There is also,"There is also the difficulty of knowledge acquisition, the problem of obtaining knowledge for AI applications."
"An ""agent"" is","An ""agent"" is anything that perceives and takes actions in the world"
A rational agent,A rational agent has goals or preferences and takes actions to make them happen
"In automated planning,","In automated planning, the agent has a specific goal"
"In automated decision-making,","In automated decision-making, the agent has preferences—there are some situations it would prefer to be in, and some situations it is trying to avoid"
The decision-making agent,"The decision-making agent assigns a number to each situation (called the ""utility"") that measures how much the agent prefers it"
For each possible,"For each possible action, it can calculate the ""expected utility"": the utility of all possible outcomes of the action, weighted by the probability that the outcome will occur"
It can then,It can then choose the action with the maximum expected utility.
"In classical planning,","In classical planning, the agent knows exactly what the effect of any action will be"
In most real-world,"In most real-world problems, however, the agent may not be certain about the situation they are in (it is ""unknown"" or ""unobservable"") and it may not know for certain what will happen after each possible action (it is not ""deterministic"")"
It must choose,It must choose an action by making a probabilistic guess and then reassess the situation to see if the action worked.
"In some problems,","In some problems, the agent's preferences may be uncertain, especially if there are other agents or humans involved"
These can be,"These can be learned (e.g., with inverse reinforcement learning), or the agent can seek information to improve its preferences"
Information value theory,Information value theory can be used to weigh the value of exploratory or experimental actions
The space of,"The space of possible future actions and situations is typically intractably large, so the agents must take actions and evaluate situations while being uncertain of what the outcome will be."
A Markov decision,A Markov decision process has a transition model that describes the probability that a particular action will change the state in a particular way and a reward function that supplies the utility of each state and the cost of each action
A policy associates,A policy associates a decision with each possible state
The policy could,"The policy could be calculated (e.g., by iteration), be heuristic, or it can be learned."
Game theory describes,Game theory describes the rational behavior of multiple interacting agents and is used in AI programs that make decisions that involve other agents.
Machine learning is,Machine learning is the study of programs that can improve their performance on a given task automatically
It has been,It has been a part of AI from the beginning.
There are several,There are several kinds of machine learning
Unsupervised learning analyzes,Unsupervised learning analyzes a stream of data and finds patterns and makes predictions without any other guidance
Supervised learning requires,"Supervised learning requires labeling the training data with the expected answers, and comes in two main varieties: classification (where the program must learn to predict what category the input belongs in) and regression (where the program must deduce a numeric function based on numeric input)."
"In reinforcement learning,","In reinforcement learning, the agent is rewarded for good responses and punished for bad ones"
The agent learns,"The agent learns to choose responses that are classified as ""good"""
Transfer learning is,Transfer learning is when the knowledge gained from one problem is applied to a new problem
Deep learning is,Deep learning is a type of machine learning that runs inputs through biologically inspired artificial neural networks for all of these types of learning.
Computational learning theory,"Computational learning theory can assess learners by computational complexity, by sample complexity (how much data is required), or by other notions of optimization."
Natural language processing,"Natural language processing (NLP) allows programs to read, write and communicate in human languages"
Specific problems include,"Specific problems include speech recognition, speech synthesis, machine translation, information extraction, information retrieval and question answering."
"Early work, based","Early work, based on Noam Chomsky's generative grammar and semantic networks, had difficulty with word-sense disambiguation unless restricted to small domains called ""micro-worlds"" (due to the common sense knowledge problem)"
Margaret Masterman believed,"Margaret Masterman believed that it was meaning and not grammar that was the key to understanding languages, and that thesauri and not dictionaries should be the basis of computational language structure."
Modern deep learning,"Modern deep learning techniques for NLP include word embedding (representing words, typically as vectors encoding their meaning), transformers (a deep learning architecture using an attention mechanism), and others"
"In 2019, generative","In 2019, generative pre-trained transformer (or ""GPT"") language models began to generate coherent text, and by 2023, these models were able to get human-level scores on the bar exam, SAT test, GRE test, and many other real-world applications."
Machine perception is,"Machine perception is the ability to use input from sensors (such as cameras, microphones, wireless signals, active lidar, sonar, radar, and tactile sensors) to deduce aspects of the world"
Computer vision is,Computer vision is the ability to analyze visual input.
The field includes,"The field includes speech recognition, image classification, facial recognition, object recognition, object tracking, and robotic perception."
Affective computing is,"Affective computing is a field that comprises systems that recognize, interpret, process, or simulate human feeling, emotion, and mood"
"For example, some","For example, some virtual assistants are programmed to speak conversationally or even to banter humorously; it makes them appear more sensitive to the emotional dynamics of human interaction, or to otherwise facilitate human–computer interaction."
"However, this tends","However, this tends to give naïve users an unrealistic conception of the intelligence of existing computer agents"
Moderate successes related,"Moderate successes related to affective computing include textual sentiment analysis and, more recently, multimodal sentiment analysis, wherein AI classifies the effects displayed by a videotaped subject."
A machine with,A machine with artificial general intelligence would be able to solve a wide variety of problems with breadth and versatility similar to human intelligence.
AI research uses,AI research uses a wide variety of techniques to accomplish the goals above.
AI can solve,AI can solve many problems by intelligently searching through many possible solutions
There are two,There are two very different kinds of search used in AI: state space search and local search.
State space search,State space search searches through a tree of possible states to try to find a goal state
"For example, planning","For example, planning algorithms search through trees of goals and subgoals, attempting to find a path to a target goal, a process called means-ends analysis."
Simple exhaustive searches,Simple exhaustive searches are rarely sufficient for most real-world problems: the search space (the number of places to search) quickly grows to astronomical numbers
The result is,The result is a search that is too slow or never completes
"""Heuristics"" or ""rules","""Heuristics"" or ""rules of thumb"" can help prioritize choices that are more likely to reach a goal."
Adversarial search is,"Adversarial search is used for game-playing programs, such as chess or Go"
It searches through,"It searches through a tree of possible moves and countermoves, looking for a winning position."
Local search uses,Local search uses mathematical optimization to find a solution to a problem
It begins with,It begins with some form of guess and refines it incrementally.
Gradient descent is,Gradient descent is a type of local search that optimizes a set of numerical parameters by incrementally adjusting them to minimize a loss function
Variants of gradient,"Variants of gradient descent are commonly used to train neural networks, through the backpropagation algorithm."
Another type of,"Another type of local search is evolutionary computation, which aims to iteratively improve a set of candidate solutions by ""mutating"" and ""recombining"" them, selecting only the fittest to survive each generation."
Distributed search processes,Distributed search processes can coordinate via swarm intelligence algorithms
Two popular swarm,Two popular swarm algorithms used in search are particle swarm optimization (inspired by bird flocking) and ant colony optimization (inspired by ant trails).
Formal logic is,Formal logic is used for reasoning and knowledge representation.
Formal logic comes,"Formal logic comes in two main forms: propositional logic (which operates on statements that are true or false and uses logical connectives such as ""and"", ""or"", ""not"" and ""implies"") and predicate logic (which also operates on objects, predicates and relations and uses quantifiers such as ""Every X is a Y"" and ""There are some Xs that are Ys"")."
Deductive reasoning in,Deductive reasoning in logic is the process of proving a new statement (conclusion) from other statements that are given and assumed to be true (the premises)
Proofs can be,"Proofs can be structured as proof trees, in which nodes are labelled by sentences, and children nodes are connected to parent nodes by inference rules."
Given a problem,"Given a problem and a set of premises, problem-solving reduces to searching for a proof tree whose root node is labelled by a solution of the problem and whose leaf nodes are labelled by premises or axioms"
In the case,"In the case of Horn clauses, problem-solving search can be performed by reasoning forwards from the premises or backwards from the problem"
In the more,"In the more general case of the clausal form of first-order logic, resolution is a single, axiom-free rule of inference, in which a problem is solved by proving a contradiction from premises that include the negation of the problem to be solved."
Inference in both,"Inference in both Horn clause logic and first-order logic is undecidable, and therefore intractable"
"However, backward reasoning","However, backward reasoning with Horn clauses, which underpins computation in the logic programming language Prolog, is Turing complete"
"Moreover, its efficiency","Moreover, its efficiency is competitive with computation in other symbolic programming languages."
Fuzzy logic assigns,"Fuzzy logic assigns a ""degree of truth"" between 0 and 1"
It can therefore,It can therefore handle propositions that are vague and partially true.
"Non-monotonic logics, including","Non-monotonic logics, including logic programming with negation as failure, are designed to handle default reasoning"
Other specialized versions,Other specialized versions of logic have been developed to describe many complex domains.
=== Probabilistic methods,=== Probabilistic methods for uncertain reasoning ===
Many problems in,"Many problems in AI (including reasoning, planning, learning, perception, and robotics) require the agent to operate with incomplete or uncertain information"
AI researchers have,AI researchers have devised a number of tools to solve these problems using methods from probability theory and economics
Precise mathematical tools,"Precise mathematical tools have been developed that analyze how an agent can make choices and plan, using decision theory, decision analysis, and information value theory"
These tools include,"These tools include models such as Markov decision processes, dynamic decision networks, game theory and mechanism design."
Bayesian networks are,"Bayesian networks are a tool that can be used for reasoning (using the Bayesian inference algorithm), learning (using the expectation–maximization algorithm), planning (using decision networks) and perception (using dynamic Bayesian networks)."
Probabilistic algorithms can,"Probabilistic algorithms can also be used for filtering, prediction, smoothing, and finding explanations for streams of data, thus helping perception systems analyze processes that occur over time (e.g., hidden Markov models or Kalman filters)."
=== Classifiers and,=== Classifiers and statistical learning methods ===
The simplest AI,"The simplest AI applications can be divided into two types: classifiers (e.g., ""if shiny then diamond""), on one hand, and controllers (e.g., ""if diamond then pick up""), on the other hand"
Classifiers are functions,Classifiers are functions that use pattern matching to determine the closest match
They can be,They can be fine-tuned based on chosen examples using supervised learning
Each pattern (also,"Each pattern (also called an ""observation"") is labeled with a certain predefined class"
All the observations,All the observations combined with their class labels are known as a data set
When a new,"When a new observation is received, that observation is classified based on previous experience."
There are many,There are many kinds of classifiers in use
The decision tree,The decision tree is the simplest and most widely used symbolic machine learning algorithm
K-nearest neighbor algorithm,"K-nearest neighbor algorithm was the most widely used analogical AI until the mid-1990s, and Kernel methods such as the support vector machine (SVM) displaced k-nearest neighbor in the 1990s."
The naive Bayes,"The naive Bayes classifier is reportedly the ""most widely used learner"" at Google, due in part to its scalability."
Neural networks are,Neural networks are also used as classifiers.
An artificial neural,"An artificial neural network is based on a collection of nodes also known as artificial neurons, which loosely model the neurons in a biological brain"
It is trained,"It is trained to recognise patterns; once trained, it can recognise those patterns in fresh data"
There is an,"There is an input, at least one hidden layer of nodes and an output"
Each node applies,"Each node applies a function and once the weight crosses its specified threshold, the data is transmitted to the next layer"
A network is,A network is typically called a deep neural network if it has at least 2 hidden layers.
Learning algorithms for,Learning algorithms for neural networks use local search to choose the weights that will get the right output for each input during training
The most common,The most common training technique is the backpropagation algorithm
Neural networks learn,Neural networks learn to model complex relationships between inputs and outputs and find patterns in data
"In theory, a","In theory, a neural network can learn any function."
In feedforward neural,In feedforward neural networks the signal passes in only one direction
The term perceptron,The term perceptron typically refers to a single-layer neural network
"In contrast, deep","In contrast, deep learning uses many layers"
Recurrent neural networks,"Recurrent neural networks (RNNs) feed the output signal back into the input, which allows short-term memories of previous input events"
Long short-term memory,Long short-term memory networks (LSTMs) are recurrent neural networks that better preserve longterm dependencies and are less sensitive to the vanishing gradient problem
Convolutional neural networks,Convolutional neural networks (CNNs) use layers of kernels to more efficiently process local patterns
This local processing,"This local processing is especially important in image processing, where the early CNN layers typically identify simple local patterns such as edges and curves, with subsequent layers detecting more complex patterns like textures, and eventually whole objects."
Deep learning uses,Deep learning uses several layers of neurons between the network's inputs and outputs
The multiple layers,The multiple layers can progressively extract higher-level features from the raw input
"For example, in","For example, in image processing, lower layers may identify edges, while higher layers may identify the concepts relevant to a human such as digits, letters, or faces."
Deep learning has,"Deep learning has profoundly improved the performance of programs in many important subfields of artificial intelligence, including computer vision, speech recognition, natural language processing, image classification, and others"
The reason that,The reason that deep learning performs so well in so many applications is not known as of 2021
The sudden success,"The sudden success of deep learning in 2012–2015 did not occur because of some new discovery or theoretical breakthrough (deep neural networks and backpropagation had been described by many people, as far back as the 1950s) but because of two factors: the incredible increase in computer power (including the hundred-fold increase in speed by switching to GPUs) and the availability of vast amounts of training data, especially the giant curated datasets used for benchmark testing, such as ImageNet."
Generative pre-trained transformers,Generative pre-trained transformers (GPT) are large language models (LLMs) that generate text based on the semantic relationships between words in sentences
Text-based GPT models,Text-based GPT models are pre-trained on a large corpus of text that can be from the Internet
The pretraining consists,"The pretraining consists of predicting the next token (a token being usually a word, subword, or punctuation)"
"Throughout this pretraining,","Throughout this pretraining, GPT models accumulate knowledge about the world and can then generate human-like text by repeatedly predicting the next token"
"Typically, a subsequent","Typically, a subsequent training phase makes the model more truthful, useful, and harmless, usually with a technique called reinforcement learning from human feedback (RLHF)"
Current GPT models,"Current GPT models are prone to generating falsehoods called ""hallucinations"""
These can be,"These can be reduced with RLHF and quality data, but the problem has been getting worse for reasoning systems"
Such systems are,"Such systems are used in chatbots, which allow people to ask a question or request a task in simple text."
Current models and,"Current models and services include ChatGPT, Claude, Gemini, Copilot, and Meta AI"
Multimodal GPT models,"Multimodal GPT models can process different types of data (modalities) such as images, videos, sound, and text."
In the late,"In the late 2010s, graphics processing units (GPUs) that were increasingly designed with AI-specific enhancements and used with specialized TensorFlow software had replaced previously used central processing unit (CPUs) as the dominant means for large-scale (commercial and academic) machine learning models' training"
Specialized programming languages,"Specialized programming languages such as Prolog were used in early AI research, but general-purpose programming languages like Python have become predominant."
The transistor density,"The transistor density in integrated circuits has been observed to roughly double every 18 months—a trend known as Moore's law, named after the Intel co-founder Gordon Moore, who first identified it"
Improvements in GPUs,"Improvements in GPUs have been even faster, a trend sometimes called Huang's law, named after Nvidia co-founder and CEO Jensen Huang."
AI and machine,"AI and machine learning technology is used in most of the essential applications of the 2020s, including:"
recommendation systems (offered,"recommendation systems (offered by Netflix, YouTube or Amazon) driving internet traffic"
virtual assistants (such,virtual assistants (such as Siri or Alexa)
autonomous vehicles (including,"autonomous vehicles (including drones, ADAS and self-driving cars)"
automatic language translation,"automatic language translation (Microsoft Translator, Google Translate)"
facial recognition (Apple's,facial recognition (Apple's FaceID or Microsoft's DeepFace and Google's FaceNet)
image labeling (used,"image labeling (used by Facebook, Apple's Photos and TikTok)."
The deployment of,The deployment of AI may be overseen by a chief automation officer (CAO).
It has been,It has been suggested that AI can overcome discrepancies in funding allocated to different fields of research.
AlphaFold 2 (2021),"AlphaFold 2 (2021) demonstrated the ability to approximate, in hours rather than months, the 3D structure of a protein"
"In 2023, it","In 2023, it was reported that AI-guided drug discovery helped find a class of antibiotics capable of killing two different types of drug-resistant bacteria"
"In 2024, researchers","In 2024, researchers used machine learning to accelerate the search for Parkinson's disease drug treatments"
Their aim was,"Their aim was to identify compounds that block the clumping, or aggregation, of alpha-synuclein (the protein that characterises Parkinson's disease)"
They were able,They were able to speed up the initial screening process ten-fold and reduce the cost by a thousand-fold.
Game playing programs,Game playing programs have been used since the 1950s to demonstrate and test AI's most advanced techniques
Deep Blue became,"Deep Blue became the first computer chess-playing system to beat a reigning world chess champion, Garry Kasparov, on 11 May 1997"
"In 2011, in","In 2011, in a Jeopardy! quiz show exhibition match, IBM's question answering system, Watson, defeated the two greatest Jeopardy! champions, Brad Rutter and Ken Jennings, by a significant margin"
"In March 2016,","In March 2016, AlphaGo won 4 out of 5 games of Go in a match with Go champion Lee Sedol, becoming the first computer Go-playing system to beat a professional Go player without handicaps"
"Then, in 2017,","Then, in 2017, it defeated Ke Jie, who was the best Go player in the world"
Other programs handle,"Other programs handle imperfect-information games, such as the poker-playing program Pluribus"
DeepMind developed increasingly,"DeepMind developed increasingly generalistic reinforcement learning models, such as with MuZero, which could be trained to play chess, Go, or Atari games"
"In 2019, DeepMind's","In 2019, DeepMind's AlphaStar achieved grandmaster level in StarCraft II, a particularly challenging real-time strategy game that involves incomplete knowledge of what happens on the map"
"In 2021, an","In 2021, an AI agent competed in a PlayStation Gran Turismo competition, winning against four of the world's best Gran Turismo drivers using deep reinforcement learning"
"In 2024, Google","In 2024, Google DeepMind introduced SIMA, a type of AI capable of autonomously playing nine previously unseen open-world video games by observing screen output, as well as executing short, specific tasks in response to natural language instructions."
"Large language models,","Large language models, such as GPT-4, Gemini, Claude, Llama or Mistral, are increasingly used in mathematics"
These probabilistic models,"These probabilistic models are versatile, but can also produce wrong answers in the form of hallucinations"
They sometimes need,"They sometimes need a large database of mathematical problems to learn from, but also methods such as supervised fine-tuning or trained classifiers with human-annotated data to improve answers for new problems and learn from corrections"
A February 2024,"A February 2024 study showed that the performance of some language models for reasoning capabilities in solving math problems not included in their training data was low, even for problems with only minor deviations from trained data"
One technique to,"One technique to improve their performance involves training the models to produce correct reasoning steps, rather than just the correct result"
The Alibaba Group,"The Alibaba Group developed a version of its Qwen models called Qwen2-Math, that achieved state-of-the-art performance on several mathematical benchmarks, including 84% accuracy on the MATH dataset of competition mathematics problems"
"In January 2025,","In January 2025, Microsoft proposed the technique rStar-Math that leverages Monte Carlo tree search and step-by-step reasoning, enabling a relatively small language model like Qwen-7B to solve 53% of the AIME 2024 and 90% of the MATH benchmark problems."
"Alternatively, dedicated models","Alternatively, dedicated models for mathematical problem solving with higher precision for the outcome including proof of theorems have been developed such as AlphaTensor, AlphaGeometry, AlphaProof and AlphaEvolve all from Google DeepMind, Llemma from EleutherAI or Julius."
When natural language,"When natural language is used to describe mathematical problems, converters can transform such prompts into a formal language such as Lean to define mathematical tasks"
The experimental model,The experimental model Gemini Deep Think accepts natural language prompts directly and achieved gold medal results in the International Math Olympiad of 2025
Some models have,"Some models have been developed to solve challenging problems and reach good results in benchmark tests, others to serve as educational tools in mathematics."
Topological deep learning,Topological deep learning integrates various topological approaches.
Finance is one,"Finance is one of the fastest growing sectors where applied AI tools are being deployed: from retail online banking to investment advice and insurance, where automated ""robot advisers"" have been in use for some years."
According to Nicolas,"According to Nicolas Firzli, director of the World Pensions & Investments Forum, it may be too early to see the emergence of highly innovative AI-informed financial products and services"
He argues that,"He argues that ""the deployment of AI tools will simply further automatise things: destroying tens of thousands of jobs in banking, financial planning, and pension advice in the process, but I'm not sure it will unleash a new wave of [e.g., sophisticated] pension innovation."""
Various countries are,Various countries are deploying AI military applications
The main applications,"The main applications enhance command and control, communications, sensors, integration and interoperability"
Research is targeting,"Research is targeting intelligence collection and analysis, logistics, cyber operations, information operations, and semiautonomous and autonomous vehicles"
AI technologies enable,"AI technologies enable coordination of sensors and effectors, threat detection and identification, marking of enemy positions, target acquisition, coordination and deconfliction of distributed Joint Fires between networked combat vehicles, both human-operated and autonomous."
AI has been,"AI has been used in military operations in Iraq, Syria, Israel and Ukraine."
AI agents are,"AI agents are software entities designed to perceive their environment, make decisions, and take actions autonomously to achieve specific goals"
These agents can,"These agents can interact with users, their environment, or other agents"
AI agents are,"AI agents are used in various applications, including virtual assistants, chatbots, autonomous vehicles, game-playing systems, and industrial robotics"
AI agents operate,"AI agents operate within the constraints of their programming, available computational resources, and hardware limitations"
This means they,This means they are restricted to performing tasks within their defined scope and have finite memory and processing capabilities
"In real-world applications,","In real-world applications, AI agents often face time constraints for decision-making and action execution"
Many AI agents,"Many AI agents incorporate learning algorithms, enabling them to improve their performance over time through experience or training"
"Using machine learning,","Using machine learning, AI agents can adapt to new situations and optimise their behaviour for their designated tasks."
Microsoft introduced Copilot,"Microsoft introduced Copilot Search in February 2023 under the name Bing Chat, as a built-in feature for Microsoft Edge and Bing mobile app"
Copilot Search provides,"Copilot Search provides AI-generated summaries and step-by-step reasoning based of information from web publishers, ranked in Bing Search."
"For safety, Copilot","For safety, Copilot uses AI-based classifiers and filters to reduce potentially harmful content."
Google officially pushed,Google officially pushed its AI Search at its Google I/O event on 20 May 2025
It keeps people,It keeps people looking at Google instead of clicking on a search result
AI Overviews uses,AI Overviews uses Gemini 2.5 to provide contextual answers to user queries based on web content.
Applications of AI,"Applications of AI in this domain include AI-enabled menstruation and fertility trackers that analyze user data to offer predictions, AI-integrated sex toys (e.g., teledildonics), AI-generated sexual education content, and AI agents that simulate sexual and romantic partners (e.g., Replika)"
AI is also,"AI is also used for the production of non-consensual deepfake pornography, raising significant ethical and legal concerns."
AI technologies have,AI technologies have also been used to attempt to identify online gender-based violence and online sexual grooming of minors.
There are also,There are also thousands of successful AI applications used to solve specific problems for specific industries or institutions
In a 2017,"In a 2017 survey, one in five companies reported having incorporated ""AI"" in some offerings or processes"
A few examples,"A few examples are energy storage, medical diagnosis, military logistics, applications that predict the result of judicial decisions, foreign policy, or supply chain management."
AI applications for,AI applications for evacuation and disaster management are growing
AI has been,"AI has been used to investigate patterns in large-scale and small-scale evacuations using historical data from GPS, videos or social media"
"Furthermore, AI can","Furthermore, AI can provide real-time information on the evacuation conditions."
"In agriculture, AI","In agriculture, AI has helped farmers to increase yield and identify areas that need irrigation, fertilization, pesticide treatments"
Agronomists use AI,Agronomists use AI to conduct research and development
AI has been,"AI has been used to predict the ripening time for crops such as tomatoes, monitor soil moisture, operate agricultural robots, conduct predictive analytics, classify livestock pig call emotions, automate greenhouses, detect diseases and pests, and save water."
Artificial intelligence is,"Artificial intelligence is used in astronomy to analyze increasing amounts of available data and applications, mainly for ""classification, regression, clustering, forecasting, generation, discovery, and the development of new scientific insights."" For example, it is used for discovering exoplanets, forecasting solar activity, and distinguishing between signals and instrumental effects in gravitational wave astronomy"
"Additionally, it could","Additionally, it could be used for activities in space, such as space exploration, including the analysis of data from space missions, real-time science decisions of spacecraft, space debris avoidance, and more autonomous operation."
During the 2024,"During the 2024 Indian elections, US$50 million was spent on authorized AI-generated content, notably by creating deepfakes of allied (including sometimes deceased) politicians to better engage with voters, and by translating speeches to various local languages."
AI has potential,AI has potential benefits and potential risks
AI may be,"AI may be able to advance science and find solutions for serious problems: Demis Hassabis of DeepMind hopes to ""solve intelligence, and then use that to solve everything else"""
"However, as the","However, as the use of AI has become widespread, several unintended consequences and risks have been identified"
In-production systems can,"In-production systems can sometimes not factor ethics and bias into their AI training processes, especially when the AI algorithms are inherently unexplainable in deep learning."
Machine learning algorithms,Machine learning algorithms require large amounts of data
The techniques used,"The techniques used to acquire this data have raised concerns about privacy, surveillance and copyright."
AI-powered devices and,"AI-powered devices and services, such as virtual assistants and IoT products, continuously collect personal information, raising concerns about intrusive data gathering and unauthorized access by third parties"
The loss of,"The loss of privacy is further exacerbated by AI's ability to process and combine vast amounts of data, potentially leading to a surveillance society where individual activities are constantly monitored and analyzed without adequate safeguards or transparency."
Sensitive user data,"Sensitive user data collected may include online activity records, geolocation data, video, or audio"
"For example, in","For example, in order to build speech recognition algorithms, Amazon has recorded millions of private conversations and allowed temporary workers to listen to and transcribe some of them"
Opinions about this,Opinions about this widespread surveillance range from those who see it as a necessary evil to those for whom it is clearly unethical and a violation of the right to privacy.
AI developers argue,"AI developers argue that this is the only way to deliver valuable applications and have developed several techniques that attempt to preserve privacy while still obtaining the data, such as data aggregation, de-identification and differential privacy"
"Since 2016, some","Since 2016, some privacy experts, such as Cynthia Dwork, have begun to view privacy in terms of fairness"
Brian Christian wrote,"Brian Christian wrote that experts have pivoted ""from the question of 'what they know' to the question of 'what they're doing with it'."""
Generative AI is,"Generative AI is often trained on unlicensed copyrighted works, including in domains such as images or computer code; the output is then used under the rationale of ""fair use"""
Experts disagree about,"Experts disagree about how well and under what circumstances this rationale will hold up in courts of law; relevant factors may include ""the purpose and character of the use of the copyrighted work"" and ""the effect upon the potential market for the copyrighted work"""
Website owners can,"Website owners can indicate that they do not want their content scraped via a ""robots.txt"" file"
"However, some companies","However, some companies will scrape content regardless because the robots.txt file has no real authority"
"In 2023, leading","In 2023, leading authors (including John Grisham and Jonathan Franzen) sued AI companies for using their work to train generative AI"
Another discussed approach,Another discussed approach is to envision a separate sui generis system of protection for creations generated by AI to ensure fair attribution and compensation for human authors.
The commercial AI,"The commercial AI scene is dominated by Big Tech companies such as Alphabet Inc., Amazon, Apple Inc., Meta Platforms, and Microsoft"
Some of these,"Some of these players already own the vast majority of existing cloud infrastructure and computing power from data centers, allowing them to entrench further in the marketplace."
==== Power needs,==== Power needs and environmental impacts ====
"In January 2024,","In January 2024, the International Energy Agency (IEA) released Electricity 2024, Analysis and Forecast to 2026, forecasting electric power use"
This is the,This is the first IEA report to make projections for data centers and power consumption for artificial intelligence and cryptocurrency
The report states,"The report states that power demand for these uses might double by 2026, with additional electric power usage equal to electricity used by the whole Japanese nation."
Prodigious power consumption,"Prodigious power consumption by AI is responsible for the growth of fossil fuel use, and might delay closings of obsolete, carbon-emitting coal energy facilities"
There is a,"There is a feverish rise in the construction of data centers throughout the US, making large technology firms (e.g., Microsoft, Meta, Google, Amazon) into voracious consumers of electric power"
Projected electric consumption,Projected electric consumption is so immense that there is concern that it will be fulfilled no matter the source
A ChatGPT search,A ChatGPT search involves the use of 10 times the electrical energy as a Google search
The large firms,The large firms are in haste to find power sources – from nuclear energy to geothermal to fusion
The tech firms,"The tech firms argue that – in the long view – AI will be eventually kinder to the environment, but they need the energy now"
AI makes the,"AI makes the power grid more efficient and ""intelligent"", will assist in the growth of nuclear power, and track overall carbon emissions, according to technology firms."
A 2024 Goldman,"A 2024 Goldman Sachs Research Paper, AI Data Centers and the Coming US Power Demand Surge, found ""US power demand (is) likely to experience growth not seen in a generation...."" and forecasts that, by 2030, US data centers will consume 8% of US power, as opposed to 3% in 2022, presaging growth for the electrical power generation industry by a variety of means"
Data centers' need,Data centers' need for more and more electrical power is such that they might max out the electrical grid
The Big Tech,The Big Tech companies counter that AI can be used to maximize the utilization of the grid by all.
"In 2024, the","In 2024, the Wall Street Journal reported that big AI companies have begun negotiations with the US nuclear power providers to provide electricity to the data centers"
In March 2024,In March 2024 Amazon purchased a Pennsylvania nuclear-powered data center for US$650 million
